State_ID,Psi0,Delta_Psi0,Tau_Delta,Gamma_Psi0,Pi_Psi0,Iterations_to_Fix,Fixed_Point,Status
1,000000000,000000000,000000000,100010001,0,1,100010001,FIXED
2,000000001,000000001,000000001,100010001,0,1,100010001,FIXED
3,000000010,000000010,000000010,100011011,0,1,100011011,FIXED
4,000000011,000000011,000000011,100011011,0,1,100011011,FIXED
5,000000100,000000100,000000100,101010101,0,1,101010101,FIXED
6,000000101,000000101,000000101,101010101,0,1,101010101,FIXED
7,000000110,000000110,000000110,101011111,0,2,111111111,FIXED
8,000000111,000000111,000000111,101011111,0,2,111111111,FIXED
9,000001000,000001000,000001000,100011011,0,1,100011011,FIXED
10,000001001,000001001,000001001,100011011,0,1,100011011,FIXED
11,000001010,000001010,000011011,100011011,0,1,100011011,FIXED
12,000001011,000001011,000011011,100011011,0,1,100011011,FIXED
13,000001100,000001100,000101100,111111111,0,1,111111111,FIXED
14,000001101,000001101,000101101,111111111,0,1,111111111,FIXED
15,000001110,000001110,000111111,111111111,0,1,111111111,FIXED
16,000001111,000001111,000111111,111111111,0,1,111111111,FIXED
17,000010000,000010000,000010000,100010001,0,1,100010001,FIXED
18,000010001,000010001,000010001,100010001,0,1,100010001,FIXED
19,000010010,000010010,000010010,100011011,0,1,100011011,FIXED
20,000010011,000010011,000010011,100011011,0,1,100011011,FIXED
21,000010100,000010100,000010100,101010101,0,1,101010101,FIXED
22,000010101,000010101,000010101,101010101,0,1,101010101,FIXED
23,000010110,000010110,000010110,101011111,0,2,111111111,FIXED
24,000010111,000010111,000010111,101011111,0,2,111111111,FIXED
25,000011000,000011000,000011000,100011011,0,1,100011011,FIXED
26,000011001,000011001,000011001,100011011,0,1,100011011,FIXED
27,000011010,000011010,000011011,100011011,0,1,100011011,FIXED
28,000011011,000011011,000011011,100011011,0,1,100011011,FIXED
29,000011100,000011100,000111100,111111111,0,1,111111111,FIXED
30,000011101,000011101,000111101,111111111,0,1,111111111,FIXED
31,000011110,000011110,000111111,111111111,0,1,111111111,FIXED
32,000011111,000011111,000111111,111111111,0,1,111111111,FIXED
33,000100000,000100000,000100000,110110001,0,1,110110001,FIXED
34,000100001,000100001,000100001,110110001,0,1,110110001,FIXED
35,000100010,000100010,000100110,111111111,0,1,111111111,FIXED
36,000100011,000100011,000100111,111111111,0,1,111111111,FIXED
37,000100100,000100100,000100100,111110101,0,2,111111111,FIXED
38,000100101,000100101,000100101,111110101,0,2,111111111,FIXED
39,000100110,000100110,000100110,111111111,0,1,111111111,FIXED
40,000100111,000100111,000100111,111111111,0,1,111111111,FIXED
41,000101000,000101000,000101000,110111011,0,2,111111111,FIXED
42,000101001,000101001,000101001,110111011,0,2,111111111,FIXED
43,000101010,000101010,000111111,111111111,0,1,111111111,FIXED
44,000101011,000101011,000111111,111111111,0,1,111111111,FIXED
45,000101100,000101100,000101100,111111111,0,1,111111111,FIXED
46,000101101,000101101,000101101,111111111,0,1,111111111,FIXED
47,000101110,000101110,000111111,111111111,0,1,111111111,FIXED
48,000101111,000101111,000111111,111111111,0,1,111111111,FIXED
49,000110000,000110000,000110000,110110001,0,1,110110001,FIXED
50,000110001,000110001,000110001,110110001,0,1,110110001,FIXED
51,000110010,000110010,000110110,111111111,0,1,111111111,FIXED
52,000110011,000110011,000110111,111111111,0,1,111111111,FIXED
53,000110100,000110100,000110100,111110101,0,2,111111111,FIXED
54,000110101,000110101,000110101,111110101,0,2,111111111,FIXED
55,000110110,000110110,000110110,111111111,0,1,111111111,FIXED
56,000110111,000110111,000110111,111111111,0,1,111111111,FIXED
57,000111000,000111000,000111000,110111011,0,2,111111111,FIXED
58,000111001,000111001,000111001,110111011,0,2,111111111,FIXED
59,000111010,000111010,000111111,111111111,0,1,111111111,FIXED
60,000111011,000111011,000111111,111111111,0,1,111111111,FIXED
61,000111100,000111100,000111100,111111111,0,1,111111111,FIXED
62,000111101,000111101,000111101,111111111,0,1,111111111,FIXED
63,000111110,000111110,000111111,111111111,0,1,111111111,FIXED
64,000111111,000111111,000111111,111111111,0,1,111111111,FIXED
65,001000000,001000000,001000000,101010101,0,1,101010101,FIXED
66,001000001,001000001,001000001,101010101,0,1,101010101,FIXED
67,001000010,001000010,011000010,111111111,0,1,111111111,FIXED
68,001000011,001000011,011000011,111111111,0,1,111111111,FIXED
69,001000100,001000100,101000101,101010101,0,1,101010101,FIXED
70,001000101,001000101,101000101,101010101,0,1,101010101,FIXED
