State_ID,Iteration,Psi_n,Pi_n,Psi_next,Is_Fixed
1,0,000000000,0,100010001,0
1,1,100010001,1,100010001,1
2,0,000000001,0,100010001,0
2,1,100010001,1,100010001,1
3,0,000000010,0,100011011,0
3,1,100011011,1,100011011,1
4,0,000000011,0,100011011,0
4,1,100011011,1,100011011,1
5,0,000000100,0,101010101,0
5,1,101010101,1,101010101,1
6,0,000000101,0,101010101,0
6,1,101010101,1,101010101,1
7,0,000000110,0,101011111,0
7,1,101011111,0,111111111,0
7,2,111111111,1,111111111,1
8,0,000000111,0,101011111,0
8,1,101011111,0,111111111,0
8,2,111111111,1,111111111,1
9,0,000001000,0,100011011,0
9,1,100011011,1,100011011,1
10,0,000001001,0,100011011,0
10,1,100011011,1,100011011,1
11,0,000001010,0,100011011,0
11,1,100011011,1,100011011,1
12,0,000001011,0,100011011,0
12,1,100011011,1,100011011,1
13,0,000001100,0,111111111,0
13,1,111111111,1,111111111,1
14,0,000001101,0,111111111,0
14,1,111111111,1,111111111,1
15,0,000001110,0,111111111,0
15,1,111111111,1,111111111,1
16,0,000001111,0,111111111,0
16,1,111111111,1,111111111,1
17,0,000010000,0,100010001,0
17,1,100010001,1,100010001,1
18,0,000010001,0,100010001,0
18,1,100010001,1,100010001,1
19,0,000010010,0,100011011,0
19,1,100011011,1,100011011,1
20,0,000010011,0,100011011,0
20,1,100011011,1,100011011,1
21,0,000010100,0,101010101,0
21,1,101010101,1,101010101,1
22,0,000010101,0,101010101,0
22,1,101010101,1,101010101,1
23,0,000010110,0,101011111,0
23,1,101011111,0,111111111,0
23,2,111111111,1,111111111,1
24,0,000010111,0,101011111,0
24,1,101011111,0,111111111,0
24,2,111111111,1,111111111,1
25,0,000011000,0,100011011,0
25,1,100011011,1,100011011,1
26,0,000011001,0,100011011,0
26,1,100011011,1,100011011,1
27,0,000011010,0,100011011,0
27,1,100011011,1,100011011,1
28,0,000011011,0,100011011,0
28,1,100011011,1,100011011,1
29,0,000011100,0,111111111,0
29,1,111111111,1,111111111,1
30,0,000011101,0,111111111,0
30,1,111111111,1,111111111,1
31,0,000011110,0,111111111,0
31,1,111111111,1,111111111,1
32,0,000011111,0,111111111,0
32,1,111111111,1,111111111,1
33,0,000100000,0,110110001,0
33,1,110110001,1,110110001,1
34,0,000100001,0,110110001,0
34,1,110110001,1,110110001,1
35,0,000100010,0,111111111,0
35,1,111111111,1,111111111,1
36,0,000100011,0,111111111,0
36,1,111111111,1,111111111,1
37,0,000100100,0,111110101,0
37,1,111110101,0,111111111,0
37,2,111111111,1,111111111,1
38,0,000100101,0,111110101,0
38,1,111110101,0,111111111,0
38,2,111111111,1,111111111,1
39,0,000100110,0,111111111,0
39,1,111111111,1,111111111,1
40,0,000100111,0,111111111,0
40,1,111111111,1,111111111,1
41,0,000101000,0,110111011,0
41,1,110111011,0,111111111,0
41,2,111111111,1,111111111,1
42,0,000101001,0,110111011,0
42,1,110111011,0,111111111,0
42,2,111111111,1,111111111,1
43,0,000101010,0,111111111,0
43,1,111111111,1,111111111,1
44,0,000101011,0,111111111,0
44,1,111111111,1,111111111,1
45,0,000101100,0,111111111,0
45,1,111111111,1,111111111,1
46,0,000101101,0,111111111,0
46,1,111111111,1,111111111,1
47,0,000101110,0,111111111,0
47,1,111111111,1,111111111,1
48,0,000101111,0,111111111,0
48,1,111111111,1,111111111,1
49,0,000110000,0,110110001,0
49,1,110110001,1,110110001,1
50,0,000110001,0,110110001,0
50,1,110110001,1,110110001,1
51,0,000110010,0,111111111,0
51,1,111111111,1,111111111,1
52,0,000110011,0,111111111,0
52,1,111111111,1,111111111,1
53,0,000110100,0,111110101,0
53,1,111110101,0,111111111,0
53,2,111111111,1,111111111,1
54,0,000110101,0,111110101,0
54,1,111110101,0,111111111,0
54,2,111111111,1,111111111,1
55,0,000110110,0,111111111,0
55,1,111111111,1,111111111,1
56,0,000110111,0,111111111,0
56,1,111111111,1,111111111,1
57,0,000111000,0,110111011,0
57,1,110111011,0,111111111,0
57,2,111111111,1,111111111,1
58,0,000111001,0,110111011,0
58,1,110111011,0,111111111,0
58,2,111111111,1,111111111,1
59,0,000111010,0,111111111,0
59,1,111111111,1,111111111,1
60,0,000111011,0,111111111,0
60,1,111111111,1,111111111,1
61,0,000111100,0,111111111,0
61,1,111111111,1,111111111,1
62,0,000111101,0,111111111,0
62,1,111111111,1,111111111,1
63,0,000111110,0,111111111,0
63,1,111111111,1,111111111,1
64,0,000111111,0,111111111,0
64,1,111111111,1,111111111,1
65,0,001000000,0,101010101,0
65,1,101010101,1,101010101,1
66,0,001000001,0,101010101,0
66,1,101010101,1,101010101,1
67,0,001000010,0,111111111,0
67,1,111111111,1,111111111,1
68,0,001000011,0,111111111,0
68,1,111111111,1,111111111,1
69,0,001000100,0,101010101,0
69,1,101010101,1,101010101,1
70,0,001000101,0,101010101,0
70,1,101010101,1,101010101,1
71,0,001000110,0,111111111,0
71,1,111111111,1,111111111,1
72,0,001000111,0,111111111,0
72,1,111111111,1,111111111,1
73,0,001001000,0,101011111,0
73,1,101011111,0,111111111,0
73,2,111111111,1,111111111,1
74,0,001001001,0,101011111,0
74,1,101011111,0,111111111,0
74,2,111111111,1,111111111,1
75,0,001001010,0,111111111,0
75,1,111111111,1,111111111,1
76,0,001001011,0,111111111,0
76,1,111111111,1,111111111,1
77,0,001001100,0,111111111,0
77,1,111111111,1,111111111,1
78,0,001001101,0,111111111,0
78,1,111111111,1,111111111,1
79,0,001001110,0,111111111,0
79,1,111111111,1,111111111,1
80,0,001001111,0,111111111,0
80,1,111111111,1,111111111,1
81,0,001010000,0,101010101,0
81,1,101010101,1,101010101,1
82,0,001010001,0,101010101,0
82,1,101010101,1,101010101,1
83,0,001010010,0,111111111,0
83,1,111111111,1,111111111,1
84,0,001010011,0,111111111,0
84,1,111111111,1,111111111,1
85,0,001010100,0,101010101,0
85,1,101010101,1,101010101,1
86,0,001010101,0,101010101,0
86,1,101010101,1,101010101,1
87,0,001010110,0,111111111,0
87,1,111111111,1,111111111,1
88,0,001010111,0,111111111,0
88,1,111111111,1,111111111,1
89,0,001011000,0,101011111,0
89,1,101011111,0,111111111,0
89,2,111111111,1,111111111,1
90,0,001011001,0,101011111,0
90,1,101011111,0,111111111,0
90,2,111111111,1,111111111,1
91,0,001011010,0,111111111,0
91,1,111111111,1,111111111,1
92,0,001011011,0,111111111,0
92,1,111111111,1,111111111,1
93,0,001011100,0,111111111,0
93,1,111111111,1,111111111,1
94,0,001011101,0,111111111,0
94,1,111111111,1,111111111,1
95,0,001011110,0,111111111,0
95,1,111111111,1,111111111,1
96,0,001011111,0,111111111,0
96,1,111111111,1,111111111,1
97,0,001100000,0,111111111,0
97,1,111111111,1,111111111,1
98,0,001100001,0,111111111,0
98,1,111111111,1,111111111,1
99,0,001100010,0,111111111,0
99,1,111111111,1,111111111,1
100,0,001100011,0,111111111,0
100,1,111111111,1,111111111,1
101,0,001100100,0,111111111,0
101,1,111111111,1,111111111,1
102,0,001100101,0,111111111,0
102,1,111111111,1,111111111,1
103,0,001100110,0,111111111,0
103,1,111111111,1,111111111,1
104,0,001100111,0,111111111,0
104,1,111111111,1,111111111,1
105,0,001101000,0,111111111,0
105,1,111111111,1,111111111,1
106,0,001101001,0,111111111,0
106,1,111111111,1,111111111,1
107,0,001101010,0,111111111,0
107,1,111111111,1,111111111,1
108,0,001101011,0,111111111,0
108,1,111111111,1,111111111,1
109,0,001101100,0,111111111,0
109,1,111111111,1,111111111,1
110,0,001101101,0,111111111,0
110,1,111111111,1,111111111,1
111,0,001101110,0,111111111,0
111,1,111111111,1,111111111,1
112,0,001101111,0,111111111,0
112,1,111111111,1,111111111,1
113,0,001110000,0,111111111,0
113,1,111111111,1,111111111,1
114,0,001110001,0,111111111,0
114,1,111111111,1,111111111,1
115,0,001110010,0,111111111,0
115,1,111111111,1,111111111,1
116,0,001110011,0,111111111,0
116,1,111111111,1,111111111,1
117,0,001110100,0,111111111,0
117,1,111111111,1,111111111,1
118,0,001110101,0,111111111,0
118,1,111111111,1,111111111,1
119,0,001110110,0,111111111,0
119,1,111111111,1,111111111,1
120,0,001110111,0,111111111,0
120,1,111111111,1,111111111,1
121,0,001111000,0,111111111,0
121,1,111111111,1,111111111,1
122,0,001111001,0,111111111,0
122,1,111111111,1,111111111,1
123,0,001111010,0,111111111,0
123,1,111111111,1,111111111,1
124,0,001111011,0,111111111,0
124,1,111111111,1,111111111,1
125,0,001111100,0,111111111,0
125,1,111111111,1,111111111,1
126,0,001111101,0,111111111,0
126,1,111111111,1,111111111,1
127,0,001111110,0,111111111,0
127,1,111111111,1,111111111,1
128,0,001111111,0,111111111,0
128,1,111111111,1,111111111,1
129,0,010000000,0,110110001,0
129,1,110110001,1,110110001,1
130,0,010000001,0,110110001,0
130,1,110110001,1,110110001,1
131,0,010000010,0,110111011,0
131,1,110111011,0,111111111,0
131,2,111111111,1,111111111,1
132,0,010000011,0,110111011,0
132,1,110111011,0,111111111,0
132,2,111111111,1,111111111,1
133,0,010000100,0,111111111,0
133,1,111111111,1,111111111,1
134,0,010000101,0,111111111,0
134,1,111111111,1,111111111,1
135,0,010000110,0,111111111,0
135,1,111111111,1,111111111,1
136,0,010000111,0,111111111,0
136,1,111111111,1,111111111,1
137,0,010001000,0,111111111,0
137,1,111111111,1,111111111,1
138,0,010001001,0,111111111,0
138,1,111111111,1,111111111,1
139,0,010001010,0,111111111,0
139,1,111111111,1,111111111,1
140,0,010001011,0,111111111,0
140,1,111111111,1,111111111,1
141,0,010001100,0,111111111,0
141,1,111111111,1,111111111,1
142,0,010001101,0,111111111,0
142,1,111111111,1,111111111,1
143,0,010001110,0,111111111,0
143,1,111111111,1,111111111,1
144,0,010001111,0,111111111,0
144,1,111111111,1,111111111,1
145,0,010010000,0,110110001,0
145,1,110110001,1,110110001,1
146,0,010010001,0,110110001,0
146,1,110110001,1,110110001,1
147,0,010010010,0,110111011,0
147,1,110111011,0,111111111,0
147,2,111111111,1,111111111,1
148,0,010010011,0,110111011,0
148,1,110111011,0,111111111,0
148,2,111111111,1,111111111,1
149,0,010010100,0,111111111,0
149,1,111111111,1,111111111,1
150,0,010010101,0,111111111,0
150,1,111111111,1,111111111,1
151,0,010010110,0,111111111,0
151,1,111111111,1,111111111,1
152,0,010010111,0,111111111,0
152,1,111111111,1,111111111,1
153,0,010011000,0,111111111,0
153,1,111111111,1,111111111,1
154,0,010011001,0,111111111,0
154,1,111111111,1,111111111,1
155,0,010011010,0,111111111,0
155,1,111111111,1,111111111,1
156,0,010011011,0,111111111,0
156,1,111111111,1,111111111,1
157,0,010011100,0,111111111,0
157,1,111111111,1,111111111,1
158,0,010011101,0,111111111,0
158,1,111111111,1,111111111,1
159,0,010011110,0,111111111,0
159,1,111111111,1,111111111,1
160,0,010011111,0,111111111,0
160,1,111111111,1,111111111,1
161,0,010100000,0,110110001,0
161,1,110110001,1,110110001,1
162,0,010100001,0,110110001,0
162,1,110110001,1,110110001,1
163,0,010100010,0,111111111,0
163,1,111111111,1,111111111,1
164,0,010100011,0,111111111,0
164,1,111111111,1,111111111,1
165,0,010100100,0,111111111,0
165,1,111111111,1,111111111,1
166,0,010100101,0,111111111,0
166,1,111111111,1,111111111,1
167,0,010100110,0,111111111,0
167,1,111111111,1,111111111,1
168,0,010100111,0,111111111,0
168,1,111111111,1,111111111,1
169,0,010101000,0,111111111,0
169,1,111111111,1,111111111,1
170,0,010101001,0,111111111,0
170,1,111111111,1,111111111,1
171,0,010101010,0,111111111,0
171,1,111111111,1,111111111,1
172,0,010101011,0,111111111,0
172,1,111111111,1,111111111,1
173,0,010101100,0,111111111,0
173,1,111111111,1,111111111,1
174,0,010101101,0,111111111,0
174,1,111111111,1,111111111,1
175,0,010101110,0,111111111,0
175,1,111111111,1,111111111,1
176,0,010101111,0,111111111,0
176,1,111111111,1,111111111,1
177,0,010110000,0,110110001,0
177,1,110110001,1,110110001,1
178,0,010110001,0,110110001,0
178,1,110110001,1,110110001,1
179,0,010110010,0,111111111,0
179,1,111111111,1,111111111,1
180,0,010110011,0,111111111,0
180,1,111111111,1,111111111,1
181,0,010110100,0,111111111,0
181,1,111111111,1,111111111,1
182,0,010110101,0,111111111,0
182,1,111111111,1,111111111,1
183,0,010110110,0,111111111,0
183,1,111111111,1,111111111,1
184,0,010110111,0,111111111,0
184,1,111111111,1,111111111,1
185,0,010111000,0,111111111,0
185,1,111111111,1,111111111,1
186,0,010111001,0,111111111,0
186,1,111111111,1,111111111,1
187,0,010111010,0,111111111,0
187,1,111111111,1,111111111,1
188,0,010111011,0,111111111,0
188,1,111111111,1,111111111,1
189,0,010111100,0,111111111,0
189,1,111111111,1,111111111,1
190,0,010111101,0,111111111,0
190,1,111111111,1,111111111,1
191,0,010111110,0,111111111,0
191,1,111111111,1,111111111,1
192,0,010111111,0,111111111,0
192,1,111111111,1,111111111,1
193,0,011000000,0,111110101,0
193,1,111110101,0,111111111,0
193,2,111111111,1,111111111,1
194,0,011000001,0,111110101,0
194,1,111110101,0,111111111,0
194,2,111111111,1,111111111,1
195,0,011000010,0,111111111,0
195,1,111111111,1,111111111,1
196,0,011000011,0,111111111,0
196,1,111111111,1,111111111,1
197,0,011000100,0,111111111,0
197,1,111111111,1,111111111,1
198,0,011000101,0,111111111,0
198,1,111111111,1,111111111,1
199,0,011000110,0,111111111,0
199,1,111111111,1,111111111,1
200,0,011000111,0,111111111,0
200,1,111111111,1,111111111,1
201,0,011001000,0,111111111,0
201,1,111111111,1,111111111,1
202,0,011001001,0,111111111,0
202,1,111111111,1,111111111,1
203,0,011001010,0,111111111,0
203,1,111111111,1,111111111,1
204,0,011001011,0,111111111,0
204,1,111111111,1,111111111,1
205,0,011001100,0,111111111,0
205,1,111111111,1,111111111,1
206,0,011001101,0,111111111,0
206,1,111111111,1,111111111,1
207,0,011001110,0,111111111,0
207,1,111111111,1,111111111,1
208,0,011001111,0,111111111,0
208,1,111111111,1,111111111,1
209,0,011010000,0,111110101,0
209,1,111110101,0,111111111,0
209,2,111111111,1,111111111,1
210,0,011010001,0,111110101,0
210,1,111110101,0,111111111,0
210,2,111111111,1,111111111,1
211,0,011010010,0,111111111,0
211,1,111111111,1,111111111,1
212,0,011010011,0,111111111,0
212,1,111111111,1,111111111,1
213,0,011010100,0,111111111,0
213,1,111111111,1,111111111,1
214,0,011010101,0,111111111,0
214,1,111111111,1,111111111,1
215,0,011010110,0,111111111,0
215,1,111111111,1,111111111,1
216,0,011010111,0,111111111,0
216,1,111111111,1,111111111,1
217,0,011011000,0,111111111,0
217,1,111111111,1,111111111,1
218,0,011011001,0,111111111,0
218,1,111111111,1,111111111,1
219,0,011011010,0,111111111,0
219,1,111111111,1,111111111,1
220,0,011011011,0,111111111,0
220,1,111111111,1,111111111,1
221,0,011011100,0,111111111,0
221,1,111111111,1,111111111,1
222,0,011011101,0,111111111,0
222,1,111111111,1,111111111,1
223,0,011011110,0,111111111,0
223,1,111111111,1,111111111,1
224,0,011011111,0,111111111,0
224,1,111111111,1,111111111,1
225,0,011100000,0,111111111,0
225,1,111111111,1,111111111,1
226,0,011100001,0,111111111,0
226,1,111111111,1,111111111,1
227,0,011100010,0,111111111,0
227,1,111111111,1,111111111,1
228,0,011100011,0,111111111,0
228,1,111111111,1,111111111,1
229,0,011100100,0,111111111,0
229,1,111111111,1,111111111,1
230,0,011100101,0,111111111,0
230,1,111111111,1,111111111,1
231,0,011100110,0,111111111,0
231,1,111111111,1,111111111,1
232,0,011100111,0,111111111,0
232,1,111111111,1,111111111,1
233,0,011101000,0,111111111,0
233,1,111111111,1,111111111,1
234,0,011101001,0,111111111,0
234,1,111111111,1,111111111,1
235,0,011101010,0,111111111,0
235,1,111111111,1,111111111,1
236,0,011101011,0,111111111,0
236,1,111111111,1,111111111,1
237,0,011101100,0,111111111,0
237,1,111111111,1,111111111,1
238,0,011101101,0,111111111,0
238,1,111111111,1,111111111,1
239,0,011101110,0,111111111,0
239,1,111111111,1,111111111,1
240,0,011101111,0,111111111,0
240,1,111111111,1,111111111,1
241,0,011110000,0,111111111,0
241,1,111111111,1,111111111,1
242,0,011110001,0,111111111,0
242,1,111111111,1,111111111,1
243,0,011110010,0,111111111,0
243,1,111111111,1,111111111,1
244,0,011110011,0,111111111,0
244,1,111111111,1,111111111,1
245,0,011110100,0,111111111,0
245,1,111111111,1,111111111,1
246,0,011110101,0,111111111,0
246,1,111111111,1,111111111,1
247,0,011110110,0,111111111,0
247,1,111111111,1,111111111,1
248,0,011110111,0,111111111,0
248,1,111111111,1,111111111,1
249,0,011111000,0,111111111,0
249,1,111111111,1,111111111,1
250,0,011111001,0,111111111,0
250,1,111111111,1,111111111,1
251,0,011111010,0,111111111,0
251,1,111111111,1,111111111,1
252,0,011111011,0,111111111,0
252,1,111111111,1,111111111,1
253,0,011111100,0,111111111,0
253,1,111111111,1,111111111,1
254,0,011111101,0,111111111,0
254,1,111111111,1,111111111,1
255,0,011111110,0,111111111,0
255,1,111111111,1,111111111,1
256,0,011111111,0,111111111,0
256,1,111111111,1,111111111,1
257,0,100000000,0,100010001,0
257,1,100010001,1,100010001,1
258,0,100000001,0,100010001,0
258,1,100010001,1,100010001,1
259,0,100000010,0,100011011,0
259,1,100011011,1,100011011,1
260,0,100000011,0,100011011,0
260,1,100011011,1,100011011,1
261,0,100000100,0,101010101,0
261,1,101010101,1,101010101,1
262,0,100000101,0,101010101,0
262,1,101010101,1,101010101,1
263,0,100000110,0,101011111,0
263,1,101011111,0,111111111,0
263,2,111111111,1,111111111,1
264,0,100000111,0,101011111,0
264,1,101011111,0,111111111,0
264,2,111111111,1,111111111,1
265,0,100001000,0,100011011,0
265,1,100011011,1,100011011,1
266,0,100001001,0,100011011,0
266,1,100011011,1,100011011,1
267,0,100001010,0,100011011,0
267,1,100011011,1,100011011,1
268,0,100001011,0,100011011,0
268,1,100011011,1,100011011,1
269,0,100001100,0,111111111,0
269,1,111111111,1,111111111,1
270,0,100001101,0,111111111,0
270,1,111111111,1,111111111,1
271,0,100001110,0,111111111,0
271,1,111111111,1,111111111,1
272,0,100001111,0,111111111,0
272,1,111111111,1,111111111,1
273,0,100010000,0,100010001,0
273,1,100010001,1,100010001,1
274,0,100010001,1,100010001,1
275,0,100010010,0,100011011,0
275,1,100011011,1,100011011,1
276,0,100010011,0,100011011,0
276,1,100011011,1,100011011,1
277,0,100010100,0,101010101,0
277,1,101010101,1,101010101,1
278,0,100010101,0,101010101,0
278,1,101010101,1,101010101,1
