Fixed_ID,t,Heat_Kernel_Encoded,Heat_Trace,Fixed_Subspace_Dim,Semigroup_Fixed_Set
FP-001,0.25,"1,0,0;0,1,0;0,0,1",3,3,ker(L)
FP-001,1,"1,0,0;0,1,0;0,0,1",3,3,ker(L)
FP-001,2,"1,0,0;0,1,0;0,0,1",3,3,ker(L)
FP-002,0.25,"1,0,0;0,0.803265329856,0.196734670144;0,0.196734670144,0.803265329856",2.606530659712633,2,ker(L)
FP-002,1,"1,0,0;0,0.567667641618,0.432332358382;0,0.432332358382,0.567667641618",2.135335283236612,2,ker(L)
FP-002,2,"1,0,0;0,0.509157819444,0.490842180556;0,0.490842180556,0.509157819444",2.018315638888734,2,ker(L)
FP-003,0.25,"0.803265329856,0,0.196734670144;0,1,0;0.196734670144,0,0.803265329856",2.606530659712633,2,ker(L)
FP-003,1,"0.567667641618,0,0.432332358382;0,1,0;0.432332358382,0,0.567667641618",2.135335283236612,2,ker(L)
FP-003,2,"0.509157819444,0,0.490842180556;0,1,0;0.490842180556,0,0.509157819444",2.018315638888734,2,ker(L)
FP-004,0.25,"0.803265329856,0.196734670144,0;0.196734670144,0.803265329856,0;0,0,1",2.606530659712633,2,ker(L)
FP-004,1,"0.567667641618,0.432332358382,0;0.432332358382,0.567667641618,0;0,0,1",2.135335283236612,2,ker(L)
FP-004,2,"0.509157819444,0.490842180556,0;0.490842180556,0.509157819444,0;0,0,1",2.018315638888734,2,ker(L)
FP-005,0.25,"0.648244368494,0.175877815753,0.175877815753;0.175877815753,0.648244368494,0.175877815753;0.175877815753,0.175877815753,0.648244368494",1.944733105482029,1,ker(L)
FP-005,1,"0.366524712245,0.316737643877,0.316737643877;0.316737643877,0.366524712245,0.316737643877;0.316737643877,0.316737643877,0.366524712245",1.099574136735728,1,ker(L)
FP-005,2,"0.334985834784,0.332507082608,0.332507082608;0.332507082608,0.334985834784,0.332507082608;0.332507082608,0.332507082608,0.334985834784",1.004957504353333,1,ker(L)
